parent_app,date,revenue_usd
Fither: Daily Fitness Workouts,2024-05-20,650.79
SiMoMo Slow Motion Video Editor,2024-05-20,543.82
Super Hex: Hexa Block Puzzle,2024-05-20,730.62
FitHim: Gym & Home Workouts,2024-05-20,444.26
Sign Documents & PDF Signature,2024-05-20,518.87
World Swipe World Tour Connect,2024-05-20,190.88
Slow Motion Video Maker Editor,2024-05-20,183.57
Brick Breaker Smash,2024-05-20,221.73
Fither: Daily Fitness Workouts,2024-05-21,802.52
SiMoMo Slow Motion Video Editor,2024-05-21,632.34
Super Hex: Hexa Block Puzzle,2024-05-21,644.91
FitHim: Gym & Home Workouts,2024-05-21,595.74
Sign Documents & PDF Signature,2024-05-21,617.87
World Swipe World Tour Connect,2024-05-21,205.77
Slow Motion Video Maker Editor,2024-05-21,217.53
Brick Breaker Smash,2024-05-21,257.44
Fither: Daily Fitness Workouts,2024-05-22,710.01
SiMoMo Slow Motion Video Editor,2024-05-22,760.05
Super Hex: Hexa Block Puzzle,2024-05-22,791.45
FitHim: Gym & Home Workouts,2024-05-22,508.12
Sign Documents & PDF Signature,2024-05-22,384.62
World Swipe World Tour Connect,2024-05-22,187.57
Slow Motion Video Maker Editor,2024-05-22,156.78
Brick Breaker Smash,2024-05-22,201.45
Fither: Daily Fitness Workouts,2024-05-23,965.21
SiMoMo Slow Motion Video Editor,2024-05-23,846.43
Super Hex: Hexa Block Puzzle,2024-05-23,792.17
FitHim: Gym & Home Workouts,2024-05-23,681.33
Sign Documents & PDF Signature,2024-05-23,728.12
World Swipe World Tour Connect,2024-05-23,194.87
Slow Motion Video Maker Editor,2024-05-23,201.66
Brick Breaker Smash,2024-05-23,243.98
Fither: Daily Fitness Workouts,2024-05-24,1123.93
SiMoMo Slow Motion Video Editor,2024-05-24,943.94
Super Hex: Hexa Block Puzzle,2024-05-24,803.92
FitHim: Gym & Home Workouts,2024-05-24,844.10
Sign Documents & PDF Signature,2024-05-24,817.87
World Swipe World Tour Connect,2024-05-24,202.12
Slow Motion Video Maker Editor,2024-05-24,234.98
Brick Breaker Smash,2024-05-24,277.44
Fither: Daily Fitness Workouts,2024-05-25,1321.61
SiMoMo Slow Motion Video Editor,2024-05-25,1101.21
Super Hex: Hexa Block Puzzle,2024-05-25,1002.57
FitHim: Gym & Home Workouts,2024-05-25,1105.21
Sign Documents & PDF Signature,2024-05-25,849.90
World Swipe World Tour Connect,2024-05-25,187.67
Slow Motion Video Maker Editor,2024-05-25,211.11
Brick Breaker Smash,2024-05-25,295.55
Fither: Daily Fitness Workouts,2024-05-26,1514.52
SiMoMo Slow Motion Video Editor,2024-05-26,1203.72
Super Hex: Hexa Block Puzzle,2024-05-26,1121.45
FitHim: Gym & Home Workouts,2024-05-26,1104.18
Sign Documents & PDF Signature,2024-05-26,905.67
World Swipe World Tour Connect,2024-05-26,210.45
Slow Motion Video Maker Editor,2024-05-26,224.12
Brick Breaker Smash,2024-05-26,312.34
